sample_id,source,source_type,title,text,url,published_at,query,metadata
2583c972f7f633d8,Google Play Store,app_review,Freebie Invoice Maker Simple: rating 1/5,app wouldn't open . had to reinstall . lost everything and my 149.99 . app won't recognize my email for sign in but has me on recurring payment for 149.99 . Watch out for the scam,https://play.google.com/store/apps/details?id=app.invoice_maker&reviewId=259d09cc-e2f1-443d-b716-a2a655d19c7b,2025-12-12T11:00:04,invoice maker small business,"{""app"": ""Freebie Invoice Maker Simple"", ""app_id"": ""app.invoice_maker"", ""eligibility_rule"": ""Google Play rating<=3, text>=50, native review ID"", ""native_id"": ""259d09cc-e2f1-443d-b716-a2a655d19c7b"", ""rating"": 1, ""record_sha256"": ""f174db551b73b13480dc39273ce9ed859113c0a2a75cecf131f1f7f3fbb1d471"", ""retrieved_at"": ""2026-07-19"", ""review_created_version"": ""3.1.1"", ""thumbs_up"": 6}"
44d2c088b1417f54,Google Play Store,app_review,Freebie Invoice Maker Simple: rating 2/5,"Great invoice maker, completely free, would love the option to send to multiple emails/assign multiple emails to clients Edit, they introduced a disgustingly greedy subscription plan and you can't even edit old invoices without paying, avoid like the plauge, there are many better option out there, or just make your own invoices",https://play.google.com/store/apps/details?id=app.invoice_maker&reviewId=3992ca98-6e92-4583-af19-57f6e17b7227,2025-09-14T05:09:17,invoice maker small business,"{""app"": ""Freebie Invoice Maker Simple"", ""app_id"": ""app.invoice_maker"", ""eligibility_rule"": ""Google Play rating<=3, text>=50, native review ID"", ""native_id"": ""3992ca98-6e92-4583-af19-57f6e17b7227"", ""rating"": 2, ""record_sha256"": ""e6af661ee8842306ef960e75a2303ca29a3716d88d7991523f482fa765f082cc"", ""retrieved_at"": ""2026-07-19"", ""review_created_version"": ""3.1.0"", ""thumbs_up"": 2}"
34d7491b90f3cc4a,Google Play Store,app_review,Freebie Invoice Maker Simple: rating 3/5,expensive. good app but I wouldn't download unless you're willing to pay $10 monthly or $80 aus for the year. :/,https://play.google.com/store/apps/details?id=app.invoice_maker&reviewId=ed94e0db-37db-4468-a270-25195f78caba,2026-05-21T06:43:09,invoice maker small business,"{""app"": ""Freebie Invoice Maker Simple"", ""app_id"": ""app.invoice_maker"", ""eligibility_rule"": ""Google Play rating<=3, text>=50, native review ID"", ""native_id"": ""ed94e0db-37db-4468-a270-25195f78caba"", ""rating"": 3, ""record_sha256"": ""2cf485a2519daed75613828f279fc40a107efc239ee911dbc287847cb5edb2af"", ""retrieved_at"": ""2026-07-19"", ""review_created_version"": ""26.3.10"", ""thumbs_up"": 0}"
1c018e4d32ec4b34,Google Play Store,app_review,Invoice Simple: Invoice Maker: rating 1/5,"if it were any good, you wouldn't be forc3d to sign up before you can even try it.",https://play.google.com/store/apps/details?id=com.aadhk.woinvoice&reviewId=27720451-6b0b-4758-866d-ab2ccb0e2b8d,2026-06-23T21:08:49,invoice maker small business,"{""app"": ""Invoice Simple: Invoice Maker"", ""app_id"": ""com.aadhk.woinvoice"", ""eligibility_rule"": ""Google Play rating<=3, text>=50, native review ID"", ""native_id"": ""27720451-6b0b-4758-866d-ab2ccb0e2b8d"", ""rating"": 1, ""record_sha256"": ""a25ca75267e56bd3bed1f850d77fb6d1c77fd73a8bd106501617f9eacfa560e5"", ""retrieved_at"": ""2026-07-19"", ""review_created_version"": null, ""thumbs_up"": 0}"
48fbdeab44ca70ac,Google Play Store,app_review,Invoice Simple: Invoice Maker: rating 2/5,Beste App ooit ..maklik om te gebruik vanaf rekenaar sowel as foon...paar verstellings maar hul sal daar kom... Dit was my kommentaar 2023...nou kan ek nie meer dieselfde prt nie...Hierdie mense het nou geldgierig geraak...vanoggend moet ek subscriber...vir wat ..vir 6jr vat jul elke maand my geld toe spring jul van R149 na R500..dit is totaal onaanvaarbaar..😡,https://play.google.com/store/apps/details?id=com.aadhk.woinvoice&reviewId=193b237f-3d23-426c-9e87-19604cf85d91,2026-07-05T13:10:16,invoice maker small business,"{""app"": ""Invoice Simple: Invoice Maker"", ""app_id"": ""com.aadhk.woinvoice"", ""eligibility_rule"": ""Google Play rating<=3, text>=50, native review ID"", ""native_id"": ""193b237f-3d23-426c-9e87-19604cf85d91"", ""rating"": 2, ""record_sha256"": ""b98c7b71a3ebb02c008b4d3e22b85138e7d3dfbf390eb5c09286c50a1e84aa51"", ""retrieved_at"": ""2026-07-19"", ""review_created_version"": ""6.5.1"", ""thumbs_up"": 0}"
ac9f08c597584bdb,Google Play Store,app_review,Invoice Simple: Invoice Maker: rating 3/5,"I've lost 15 minutes of progress at a time on this app. I've written notes at the bottom of an invoice. Next, I just switched apps for 3 seconds. When I came back to the invoices app, all my work was lost, and I had to start over. Time is money, and I can't afford to run a business having to redo work. Also, It'd be nice to be able to scroll left or right amongst the opened view of the actual invoices, especially for the invoices that pop up when you use the search bar.",https://play.google.com/store/apps/details?id=com.aadhk.woinvoice&reviewId=913a95f6-eebd-4029-bcb0-25e67f85a6fd,2025-11-07T07:47:43,invoice maker small business,"{""app"": ""Invoice Simple: Invoice Maker"", ""app_id"": ""com.aadhk.woinvoice"", ""eligibility_rule"": ""Google Play rating<=3, text>=50, native review ID"", ""native_id"": ""913a95f6-eebd-4029-bcb0-25e67f85a6fd"", ""rating"": 3, ""record_sha256"": ""b38c787ab21b8401d355ae9799c5006b59f3df7d39096f036200dec36c87314b"", ""retrieved_at"": ""2026-07-19"", ""review_created_version"": ""5.5.1"", ""thumbs_up"": 42}"
0d22c4351594d63a,Google Play Store,app_review,Acuity: Appointment Scheduling: rating 1/5,"It has been constantly logging me out for weeks and support has been useless. I close the app and open it again and I'm logged out. UPDATE: After a week of back and forth and making me do all the work to troubleshoot, nothing is fixed and they closed the ticket. So I have to start all over again. Garbage.",https://play.google.com/store/apps/details?id=com.acuityscheduling.app.android&reviewId=7cc69173-9334-41cf-9d03-a01b358f2cee,2026-07-09T18:31:31,appointment scheduling business,"{""app"": ""Acuity: Appointment Scheduling"", ""app_id"": ""com.acuityscheduling.app.android"", ""eligibility_rule"": ""Google Play rating<=3, text>=50, native review ID"", ""native_id"": ""7cc69173-9334-41cf-9d03-a01b358f2cee"", ""rating"": 1, ""record_sha256"": ""38d4026d2bcce71db8aee5d722a3ffa2bc42fc7488e7effac2930f9e5ebc51fb"", ""retrieved_at"": ""2026-07-19"", ""review_created_version"": ""87.0.0"", ""thumbs_up"": 0}"
06a3d1be965fc292,Google Play Store,app_review,Acuity: Appointment Scheduling: rating 2/5,how on earth can a payment processing app lack the ability to edit the price of a session without going to the web version?!?,https://play.google.com/store/apps/details?id=com.acuityscheduling.app.android&reviewId=2a1d6b01-ceb6-42ec-b297-2e84a309288e,2026-06-28T22:08:00,appointment scheduling business,"{""app"": ""Acuity: Appointment Scheduling"", ""app_id"": ""com.acuityscheduling.app.android"", ""eligibility_rule"": ""Google Play rating<=3, text>=50, native review ID"", ""native_id"": ""2a1d6b01-ceb6-42ec-b297-2e84a309288e"", ""rating"": 2, ""record_sha256"": ""02618570c005d8df9114bc68353340a3df3e47d02fe704da04c4b82d2a972754"", ""retrieved_at"": ""2026-07-19"", ""review_created_version"": ""87.0.0"", ""thumbs_up"": 0}"
033a469a55d6188f,Google Play Store,app_review,Acuity: Appointment Scheduling: rating 3/5,"I do like this app for scheduling my spa. However, it advertises that it integrates with square. It ONLY works with the card reader. It does not integrate with my square register and until it does i cannot give it any more stars. This is a huge inconvienence.",https://play.google.com/store/apps/details?id=com.acuityscheduling.app.android&reviewId=c40361f7-2c26-4a1d-a3a7-37c13fcdf56f,2025-02-26T09:11:47,appointment scheduling business,"{""app"": ""Acuity: Appointment Scheduling"", ""app_id"": ""com.acuityscheduling.app.android"", ""eligibility_rule"": ""Google Play rating<=3, text>=50, native review ID"", ""native_id"": ""c40361f7-2c26-4a1d-a3a7-37c13fcdf56f"", ""rating"": 3, ""record_sha256"": ""ce5368663f69aea24776b6132f4321635bf7f13fb92b6b27883e535073695787"", ""retrieved_at"": ""2026-07-19"", ""review_created_version"": ""37.0.0"", ""thumbs_up"": 2}"
324369bb20d87df2,Google Play Store,app_review,Setmore Appointment Scheduling: rating 1/5,the fact that I cant go in to the back end and book an appointment every 10 min but my customers can...so I cant line it up...and please make an option to change one days schedule so I dont have to change my whole schedule for one day and the block out all the hours in the future weeks,https://play.google.com/store/apps/details?id=com.adaptavant.setmore&reviewId=ab8aa79d-efe1-4a07-b2ef-e2f5ba81d7e1,2026-05-21T00:12:03,appointment scheduling business,"{""app"": ""Setmore Appointment Scheduling"", ""app_id"": ""com.adaptavant.setmore"", ""eligibility_rule"": ""Google Play rating<=3, text>=50, native review ID"", ""native_id"": ""ab8aa79d-efe1-4a07-b2ef-e2f5ba81d7e1"", ""rating"": 1, ""record_sha256"": ""e85de8731997478c7bc11477b11f89925b4a8c5038f41ae94f5596f1f9c86794"", ""retrieved_at"": ""2026-07-19"", ""review_created_version"": ""5.45.5833.20260508"", ""thumbs_up"": 2}"
